name,commune,arrondissement,code_geo,ign_lat,ign_lng,name_too_short,n_matches,n_clusters,cluster_lat,cluster_lng,distance_m,dispersion_m,confidence,severity,primary_cluster_size,sample_poi_names
Fiyégnon-Houta,COTONOU,12ème Arrondissement,X427981Y702005,6.35059,2.348834,False,0,0,,,,,none,no_data,0,
Dandji-Hokanmè,COTONOU,1er Arrondissement,X443050Y704011,6.36889,2.485058,False,0,0,,,,,none,no_data,0,
Kowégbo,COTONOU,2ème Arrondissement,X440925Y705487,6.382226,2.465828,False,1,1,6.382724,2.462501,372.0,0.0,low,suspicious,1,Ecole Primaire Publique kowegbo
"Ningboto
",ABOMEY-CALAVI,Godomey,X426212Y704420,6.372419,2.332808,False,0,0,,,,,none,no_data,0,
Hlazounto,COTONOU,12ème Arrondissement,X429473Y704010,6.368748,2.362304,False,0,0,,,,,none,no_data,0,
Yévèdo,COTONOU,7ème Arrondissement,X435853Y703795,6.366872,2.419987,False,0,0,,,,,none,no_data,0,
Nouveau-Pont,COTONOU,5ème Arrondissement,X437163Y703986,6.368611,2.431832,False,1,1,6.367043,2.435998,492.0,0.0,low,suspicious,1,Ecole primaire publique nouveau pont
Hindé-Sud,COTONOU,6ème Arrondissement,X437380Y704684,6.374926,2.433785,False,0,0,,,,,none,no_data,0,
Ouéga-Tokpa,ABOMEY-CALAVI,Togba,X423350Y715604,6.473549,2.3068,False,0,0,,,,,none,no_data,0,
Tankpè-Togoudo,ABOMEY-CALAVI,Godomey,X423808Y709483,6.418191,2.311011,False,0,0,,,,,none,no_data,0,
Minonkpô-Wologuèdè,COTONOU,8ème Arrondissement,X435178Y704659,6.374683,2.413875,False,0,0,,,,,none,no_data,0,
"Djoukpa-Togoudo
",ABOMEY-CALAVI,Godomey,X426786Y707864,6.403575,2.337957,False,0,0,,,,,none,no_data,0,
Cadjèhoun-Azalokogon,COTONOU,12ème Arrondissement,X433543Y702810,6.357934,2.399114,False,0,0,,,,,none,no_data,0,
"Fifonsi
",ABOMEY-CALAVI,Togba,X425126Y711907,6.440134,2.322904,False,0,0,,,,,none,no_data,0,
"Ounvènoumèdé
",ABOMEY-CALAVI,Godomey,X426313Y706070,6.387345,2.3337,False,0,0,,,,,none,no_data,0,
Zoungo,ABOMEY-CALAVI,Hêvié,X417042Y713712,6.456355,2.249779,False,0,0,,,,,none,no_data,0,
Tankpê-Yoho,ABOMEY-CALAVI,Abomey-Calavi,X423741Y711052,6.432376,2.310386,False,0,0,,,,,none,no_data,0,
Akpakpa-Dodomè,COTONOU,4ème Arrondissement,X438584Y703147,6.361032,2.444689,False,0,0,,,,,none,no_data,0,
Akossavié,ABOMEY-CALAVI,Hêvié,X417207Y708138,6.405935,2.25134,False,0,0,,,,,none,no_data,0,
Cadjèhoun-Kpota,COTONOU,12ème Arrondissement,X433689Y703490,6.364088,2.400424,False,0,0,,,,,none,no_data,0,
Yagbé,COTONOU,1er Arrondissement,X441210Y704442,6.372773,2.468414,False,1,1,6.372087,2.470595,253.0,0.0,low,minor,1,CEG Yagbé
Agonkèssa,ABOMEY-CALAVI,Golo-Djigbé,X424324Y723910,6.548696,2.315507,False,0,0,,,,,none,no_data,0,
Missèbô,COTONOU,5ème Arrondissement,X437654Y703361,6.362961,2.436275,False,1,1,6.364815,2.433754,347.0,0.0,low,suspicious,1,Missebo
Agbo Codji Sèdégbé,ABOMEY-CALAVI,Godomey,X424808Y705526,6.382409,2.320099,False,0,0,,,,,none,no_data,0,
"Amahoun
",ABOMEY-CALAVI,Godomey,X421066Y705062,6.378162,2.286275,False,0,0,,,,,none,no_data,0,
"Ganganzounmè
",ABOMEY-CALAVI,Godomey,X423158Y704178,6.370197,2.305203,False,0,0,,,,,none,no_data,0,
"Gbègnigan-Midokpo
",ABOMEY-CALAVI,Godomey,X424596Y707745,6.402474,2.31816,False,0,0,,,,,none,no_data,0,
"Tokpa-Zoungo-Sud
",ABOMEY-CALAVI,Abomey-Calavi,X427836Y710008,6.422988,2.34743,False,0,0,,,,,none,no_data,0,
"Cité-la-Victoire
",ABOMEY-CALAVI,Abomey-Calavi,X426123Y709042,6.414225,2.331952,False,0,0,,,,,none,no_data,0,
Ahogbohoué-Cité-Eucharistie,COTONOU,13ème Arrondissement,X432013Y704589,6.374013,2.385256,False,0,0,,,,,none,no_data,0,
Zinvié-Agolèdji,ABOMEY-CALAVI,Zinvié,X426709Y730002,6.603832,2.337,False,0,0,,,,,none,no_data,0,
Mènontin,COTONOU,9ème Arrondissement,X430300Y706502,6.391295,2.369749,False,7,3,6.388924,2.370656,282.0,187.0,medium,minor,3,Nouvelle Pharmacie Mènontin | Centre Médico-Social Mahugnon de Menonti | Akpata Menontin
Todoté,COTONOU,7ème Arrondissement,X435778Y703404,6.363334,2.419312,False,0,0,,,,,none,no_data,0,
Djissoukpa,ABOMEY-CALAVI,Golo-Djigbé,X421298Y725899,6.566644,2.288105,False,0,0,,,,,none,no_data,0,
Missité-Sikê,COTONOU,7ème Arrondissement,X435554Y704953,6.377342,2.417275,False,0,0,,,,,none,no_data,0,
Fiyégnon-Jacquot,COTONOU,12ème Arrondissement,X430150Y702190,6.352295,2.368443,False,0,0,,,,,none,no_data,0,
