name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Fiyégnon-Houta,COTONOU,12ème Arrondissement,6.35059,2.348834,2.4,6,90087,6,7,0,116.7,0,0,2,False,GOOD
Dandji-Hokanmè,COTONOU,1er Arrondissement,6.36889,2.485058,28.5,11,90087,16,19,4,118.8,5,1,13,False,PARTIAL
Kowégbo,COTONOU,2ème Arrondissement,6.382226,2.465828,5.4,6,90087,7,8,0,114.3,-1,0,6,False,GOOD
"Ningboto
",ABOMEY-CALAVI,Godomey,6.372419,2.332808,9.0,4,90087,7,5,3,71.4,0,0,0,False,PARTIAL
Hlazounto,COTONOU,12ème Arrondissement,6.368748,2.362304,10.0,5,90087,10,6,4,60.0,1,0,2,False,PARTIAL
Yévèdo,COTONOU,7ème Arrondissement,6.366872,2.419987,2.4,4,90087,4,5,0,125.0,0,0,0,False,GOOD
Nouveau-Pont,COTONOU,5ème Arrondissement,6.368611,2.431832,8.6,4,90087,9,9,1,100.0,1,0,7,False,GOOD
Hindé-Sud,COTONOU,6ème Arrondissement,6.374926,2.433785,5.1,4,90087,4,4,0,100.0,0,0,0,False,GOOD
Ouéga-Tokpa,ABOMEY-CALAVI,Togba,6.473549,2.3068,8.7,3,90087,7,10,1,142.9,2,0,0,False,GOOD
Tankpè-Togoudo,ABOMEY-CALAVI,Godomey,6.418191,2.311011,9.4,4,90087,9,11,0,122.2,2,0,1,False,GOOD
Minonkpô-Wologuèdè,COTONOU,8ème Arrondissement,6.374683,2.413875,5.8,5,90087,7,8,1,114.3,-1,0,2,False,GOOD
"Djoukpa-Togoudo
",ABOMEY-CALAVI,Godomey,6.403575,2.337957,12.9,4,90087,10,10,2,100.0,2,0,0,False,PARTIAL
Cadjèhoun-Azalokogon,COTONOU,12ème Arrondissement,6.357934,2.399114,16.0,5,90087,12,14,2,116.7,11,0,11,True,PARTIAL
"Fifonsi
",ABOMEY-CALAVI,Togba,6.440134,2.322904,5.6,4,90087,6,7,0,116.7,0,0,1,False,GOOD
"Ounvènoumèdé
",ABOMEY-CALAVI,Godomey,6.387345,2.3337,12.1,5,90087,8,10,0,125.0,0,0,0,False,GOOD
Zoungo,ABOMEY-CALAVI,Hêvié,6.456355,2.249779,7.3,5,90087,8,7,1,87.5,-1,0,7,False,GOOD
Tankpê-Yoho,ABOMEY-CALAVI,Abomey-Calavi,6.432376,2.310386,18.0,2,90087,11,4,7,36.4,0,0,0,False,BROKEN
Akpakpa-Dodomè,COTONOU,4ème Arrondissement,6.361032,2.444689,10.4,3,90087,11,9,3,81.8,8,0,5,True,PARTIAL
Akossavié,ABOMEY-CALAVI,Hêvié,6.405935,2.25134,19.4,3,90087,7,7,1,100.0,1,0,0,False,GOOD
Cadjèhoun-Kpota,COTONOU,12ème Arrondissement,6.364088,2.400424,6.8,4,90087,6,9,0,150.0,0,0,2,False,GOOD
Yagbé,COTONOU,1er Arrondissement,6.372773,2.468414,10.4,3,90087,12,12,1,100.0,7,0,4,True,GOOD
