name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Fiyégnon-Houta,COTONOU,12ème Arrondissement,6.35059,2.348834,2.4,6,90099,34,33,3,97.1,0,0,2,False,PARTIAL
Dandji-Hokanmè,COTONOU,1er Arrondissement,6.36889,2.485058,28.5,11,90099,79,72,14,91.1,8,1,13,True,PARTIAL
Kowégbo,COTONOU,2ème Arrondissement,6.382226,2.465828,5.4,6,90099,91,69,25,75.8,0,0,6,False,PARTIAL
"Ningboto
",ABOMEY-CALAVI,Godomey,6.372419,2.332808,9.0,4,90099,93,68,25,73.1,0,0,0,False,PARTIAL
Hlazounto,COTONOU,12ème Arrondissement,6.368748,2.362304,10.0,5,90099,63,47,16,74.6,0,0,2,False,PARTIAL
Yévèdo,COTONOU,7ème Arrondissement,6.366872,2.419987,2.4,4,90099,49,33,17,67.3,9,0,0,True,PARTIAL
Nouveau-Pont,COTONOU,5ème Arrondissement,6.368611,2.431832,8.6,4,90099,69,58,15,84.1,0,0,7,True,PARTIAL
Hindé-Sud,COTONOU,6ème Arrondissement,6.374926,2.433785,5.1,4,90099,43,22,24,51.2,-1,0,0,False,PARTIAL
Ouéga-Tokpa,ABOMEY-CALAVI,Togba,6.473549,2.3068,8.7,3,90099,61,54,10,88.5,11,0,0,False,PARTIAL
Tankpè-Togoudo,ABOMEY-CALAVI,Godomey,6.418191,2.311011,9.4,4,90099,120,93,36,77.5,12,0,1,True,PARTIAL
Minonkpô-Wologuèdè,COTONOU,8ème Arrondissement,6.374683,2.413875,5.8,5,90099,48,44,15,91.7,10,0,2,False,PARTIAL
"Djoukpa-Togoudo
",ABOMEY-CALAVI,Godomey,6.403575,2.337957,12.9,4,90099,110,75,35,68.2,8,0,0,True,PARTIAL
Cadjèhoun-Azalokogon,COTONOU,12ème Arrondissement,6.357934,2.399114,16.0,5,90099,106,79,30,74.5,19,0,11,True,PARTIAL
"Fifonsi
",ABOMEY-CALAVI,Togba,6.440134,2.322904,5.6,4,90099,79,60,19,75.9,4,0,1,False,PARTIAL
"Ounvènoumèdé
",ABOMEY-CALAVI,Godomey,6.387345,2.3337,12.1,5,90099,101,80,21,79.2,5,0,0,False,PARTIAL
Zoungo,ABOMEY-CALAVI,Hêvié,6.456355,2.249779,7.3,5,90099,46,42,6,91.3,6,0,7,True,PARTIAL
Tankpê-Yoho,ABOMEY-CALAVI,Abomey-Calavi,6.432376,2.310386,18.0,2,90099,106,41,65,38.7,3,0,0,False,BROKEN
Akpakpa-Dodomè,COTONOU,4ème Arrondissement,6.361032,2.444689,10.4,3,90099,76,60,19,78.9,29,0,5,True,PARTIAL
Akossavié,ABOMEY-CALAVI,Hêvié,6.405935,2.25134,19.4,3,90099,104,79,26,76.0,13,0,0,False,PARTIAL
Cadjèhoun-Kpota,COTONOU,12ème Arrondissement,6.364088,2.400424,6.8,4,90099,37,35,6,94.6,4,0,2,False,PARTIAL
Yagbé,COTONOU,1er Arrondissement,6.372773,2.468414,10.4,3,90099,87,60,27,69.0,11,0,4,True,PARTIAL
Agonkèssa,ABOMEY-CALAVI,Golo-Djigbé,6.548696,2.315507,8.0,3,90099,34,30,5,88.2,8,0,0,False,PARTIAL
Missèbô,COTONOU,5ème Arrondissement,6.362961,2.436275,6.4,4,90099,58,46,13,79.3,4,0,0,False,PARTIAL
Agbo Codji Sèdégbé,ABOMEY-CALAVI,Godomey,6.382409,2.320099,4.1,4,90099,162,133,32,82.1,8,0,0,False,PARTIAL
"Amahoun
",ABOMEY-CALAVI,Godomey,6.378162,2.286275,13.2,3,90099,83,68,16,81.9,9,0,0,False,PARTIAL
"Ganganzounmè
",ABOMEY-CALAVI,Godomey,6.370197,2.305203,0.7,3,90099,31,23,8,74.2,0,0,0,False,PARTIAL
"Gbègnigan-Midokpo
",ABOMEY-CALAVI,Godomey,6.402474,2.31816,10.5,3,90099,71,60,12,84.5,7,0,0,False,PARTIAL
"Tokpa-Zoungo-Sud
",ABOMEY-CALAVI,Abomey-Calavi,6.422988,2.34743,10.7,5,90099,21,16,6,76.2,7,0,4,True,PARTIAL
"Cité-la-Victoire
",ABOMEY-CALAVI,Abomey-Calavi,6.414225,2.331952,4.6,4,90099,65,50,16,76.9,0,0,2,False,PARTIAL
Ahogbohoué-Cité-Eucharistie,COTONOU,13ème Arrondissement,6.374013,2.385256,49.5,1,90099,66,13,53,19.7,0,0,0,True,BROKEN
Zinvié-Agolèdji,ABOMEY-CALAVI,Zinvié,6.603832,2.337,4.9,3,90099,8,7,1,87.5,0,0,0,False,GOOD
Mènontin,COTONOU,9ème Arrondissement,6.391295,2.369749,2.2,5,90099,93,86,11,92.5,7,0,2,True,PARTIAL
Todoté,COTONOU,7ème Arrondissement,6.363334,2.419312,10.5,5,90099,59,53,10,89.8,-1,0,10,True,PARTIAL
Djissoukpa,ABOMEY-CALAVI,Golo-Djigbé,6.566644,2.288105,8.7,3,90099,24,16,10,66.7,2,0,0,False,PARTIAL
Missité-Sikê,COTONOU,7ème Arrondissement,6.377342,2.417275,9.4,3,90099,51,43,11,84.3,-2,0,2,True,PARTIAL
Fiyégnon-Jacquot,COTONOU,12ème Arrondissement,6.352295,2.368443,6.5,4,90099,68,44,25,64.7,2,0,0,False,PARTIAL
Fifadji,COTONOU,9ème Arrondissement,6.393442,2.400364,1.7,4,90099,68,59,11,86.8,3,0,0,False,PARTIAL
Vodjè-Finagnon,COTONOU,11ème Arrondissement,6.372012,2.400699,10.9,5,90099,63,51,12,81.0,26,0,4,True,PARTIAL
Lom-Nava,COTONOU,2ème Arrondissement,6.377122,2.453587,1.4,5,90099,63,49,16,77.8,-6,0,8,False,PARTIAL
Espace-Saint,ABOMEY-CALAVI,Golo-Djigbé,6.564085,2.304495,10.8,2,90099,9,7,3,77.8,2,0,0,False,PARTIAL
"Maria-Gléta
",ABOMEY-CALAVI,Godomey,6.422174,2.30741,11.8,3,90099,84,77,23,91.7,23,0,0,False,PARTIAL
Védokô,COTONOU,10ème Arrondissement,6.379254,2.385935,29.4,2,90099,103,55,48,53.4,12,0,0,True,PARTIAL
Kpondéhou-Tchèmè,COTONOU,2ème Arrondissement,6.382342,2.453445,9.5,4,90099,57,45,13,78.9,-3,0,2,False,PARTIAL
"Alédjo
",ABOMEY-CALAVI,Abomey-Calavi,6.443044,2.334257,6.8,4,90099,95,76,20,80.0,0,0,1,False,PARTIAL
Ahowégodo,ABOMEY-CALAVI,Kpanroun,6.701198,2.352761,174.4,2,90099,1,1,0,100.0,0,0,0,False,OFF_ROAD
Agounvocôdji,COTONOU,10ème Arrondissement,6.387898,2.385571,4.7,4,90099,95,81,16,85.3,11,0,0,False,PARTIAL
Somè,ABOMEY-CALAVI,Togba,6.453545,2.298973,17.0,4,90099,66,54,13,81.8,2,0,0,False,PARTIAL
"Agonkanmey
",ABOMEY-CALAVI,Godomey,6.409046,2.337729,9.8,5,90099,93,79,17,84.9,4,0,2,False,PARTIAL
"Dèkoungbé-Église
",ABOMEY-CALAVI,Godomey,6.371782,2.318474,2.7,4,90099,54,44,11,81.5,1,0,0,False,PARTIAL
"Finafa
",ABOMEY-CALAVI,Godomey,6.393346,2.353577,8.8,4,90099,102,70,33,68.6,11,0,0,True,PARTIAL
Minontchou,COTONOU,2ème Arrondissement,6.392861,2.450246,6.1,3,90099,68,61,9,89.7,4,0,0,True,PARTIAL
Zèkanmey-Domè,ABOMEY-CALAVI,Akassato,6.531632,2.341055,4.9,4,90099,70,61,10,87.1,8,0,0,False,PARTIAL
Tokpa-Hoho,COTONOU,5ème Arrondissement,6.358974,2.439452,9.5,5,90099,106,80,34,75.5,36,0,6,True,PARTIAL
Sèdami,COTONOU,7ème Arrondissement,6.370194,2.424121,5.2,4,90099,64,54,14,84.4,-1,0,2,True,PARTIAL
Gbèdjromèdè,COTONOU,6ème Arrondissement,6.379553,2.42003,2.4,7,90099,60,52,13,86.7,-6,1,11,True,PARTIAL
Cococodji,ABOMEY-CALAVI,Godomey,6.388041,2.272137,13.4,4,90099,134,101,33,75.4,12,0,6,False,PARTIAL
Sodjatinmè-Ouest,COTONOU,4ème Arrondissement,6.368479,2.44951,11.5,4,90099,68,55,16,80.9,9,0,0,True,PARTIAL
Agla-Figaro,COTONOU,13ème Arrondissement,6.378384,2.353244,2.8,5,90099,96,73,24,76.0,8,0,1,False,PARTIAL
"Tokpa
",ABOMEY-CALAVI,Godomey,6.388912,2.306642,12.3,6,90099,136,105,34,77.2,9,0,4,True,PARTIAL
Yèkon-Do,ABOMEY-CALAVI,Golo-Djigbé,6.562677,2.316385,2.2,3,90099,32,27,6,84.4,6,0,0,False,PARTIAL
Houèkè-Honou,ABOMEY-CALAVI,Akassato,6.499733,2.354828,0.5,4,90099,60,38,22,63.3,0,0,0,False,PARTIAL
