nid,lat,lng,n_quartiers,name_a,dist_a_m,name_b,dist_b_m,others,asymmetry,road_context,primary_highway,n_road_edges,in_roundabout,has_bridge,has_dual_connector_edge,dist_to_water_m,classification
220,6.371859,2.442545,2,Gbénonkpô,0.0,Misséssin,177.1,,1.0,intersection,primary,7,False,False,False,579.0,SUSPICIOUS_OVERREACH
219,6.371918,2.444443,2,Gbénonkpô,211.7,Misséssin,240.2,,0.119,intersection,primary,3,False,False,True,788.1,PLAUSIBLE_FRONTIER
5840,6.371267,2.44294,2,Gbénonkpô,56.6,Misséssin,120.5,,0.53,road_segment,tertiary,2,False,False,False,612.0,SUSPICIOUS_OVERREACH
5929,6.372034,2.442285,2,Gbénonkpô,23.7,Misséssin,200.9,,0.882,road_segment,residential,2,False,False,False,553.6,SUSPICIOUS_OVERREACH
5884,6.371778,2.444379,2,Gbénonkpô,201.3,Misséssin,223.1,,0.098,intersection,primary,3,False,False,True,778.7,PLAUSIBLE_FRONTIER
5813,6.372579,2.442412,2,Gbénonkpô,60.2,Misséssin,237.3,,0.746,intersection,residential,4,False,False,False,577.0,SUSPICIOUS_OVERREACH
26319,6.371268,2.442639,2,Gbénonkpô,55.9,Misséssin,228.0,,0.755,intersection,residential,3,False,False,False,579.1,SUSPICIOUS_OVERREACH
383,6.362272,2.423639,3,Gbèdomidji,215.3,Mifongou,245.6,Gbéto,0.124,intersection,primary,4,False,False,False,,MULTI_QUARTIER
260,6.367081,2.429914,2,Sèdjro-Saint-Michel,0.0,Nouveau-Pont,258.9,,1.0,intersection,primary,4,False,False,False,,SUSPICIOUS_OVERREACH
259,6.366964,2.429765,2,Sèdjro-Saint-Michel,15.5,Nouveau-Pont,274.4,,0.943,road_segment,primary,2,False,False,True,,SUSPICIOUS_OVERREACH
1462,6.367269,2.430154,2,Sèdjro-Saint-Michel,28.3,Nouveau-Pont,230.6,,0.877,road_segment,primary,2,False,False,False,,SUSPICIOUS_OVERREACH
376,6.367187,2.429801,2,Sèdjro-Saint-Michel,16.7,Nouveau-Pont,275.7,,0.939,intersection,primary,4,False,False,True,,SUSPICIOUS_OVERREACH
12893,6.368682,2.396767,2,Vodjè-Kpota,197.8,Houéyihô,251.2,,0.213,road_segment,secondary,2,False,False,True,,PLAUSIBLE_FRONTIER
340,6.371438,2.409925,3,Gbégamey-Gbagoudo,0.0,Dagbédji-Sikê,203.2,Vodjè-Allobatin,1.0,intersection,primary,11,False,False,False,,MULTI_QUARTIER
339,6.371361,2.411626,2,Gbégamey-Gbagoudo,95.6,Dagbédji-Sikê,293.0,,0.674,intersection,primary,3,False,False,True,,SUSPICIOUS_OVERREACH
1444,6.37063,2.410711,2,Gbégamey-Gbagoudo,28.6,Dagbédji-Sikê,174.6,,0.836,intersection,residential,6,False,False,False,,SUSPICIOUS_OVERREACH
2096,6.369488,2.408276,3,Gbégamey-Gbagoudo,183.7,Vodjè-Allobatin,197.8,Gbégamey-Dodo-Ayidjè,0.071,intersection,residential,4,False,False,False,,MULTI_QUARTIER
2152,6.370211,2.408312,3,Gbégamey-Gbagoudo,94.3,Vodjè-Allobatin,196.7,Dagbédji-Sikê,0.52,road_segment,secondary,2,False,False,False,,MULTI_QUARTIER
2214,6.371308,2.410842,2,Gbégamey-Gbagoudo,16.3,Dagbédji-Sikê,219.5,,0.926,road_segment,primary,2,False,False,False,,SUSPICIOUS_OVERREACH
4203,6.370772,2.407807,2,Gbégamey-Gbagoudo,160.4,Vodjè-Allobatin,277.2,,0.421,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
4498,6.373166,2.410862,2,Gbégamey-Gbagoudo,133.4,Agbondjèdo,254.3,,0.475,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
41751,6.370898,2.408928,2,Gbégamey-Gbagoudo,17.7,Dagbédji-Sikê,220.8,,0.92,road_segment,secondary,2,False,False,False,,SUSPICIOUS_OVERREACH
4192,6.372281,2.408773,2,Gbégamey-Gbagoudo,64.2,Dagbédji-Sikê,267.4,,0.76,intersection,residential,4,False,False,False,,SUSPICIOUS_OVERREACH
401,6.373631,2.41257,2,Minonkpô-Wologuèdè,183.1,Gbégamey-Gbagoudo,287.6,,0.363,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
463,6.375688,2.4151,2,Minonkpô-Wologuèdè,178.0,Missité-Sikê,299.1,,0.405,intersection,residential,3,False,False,True,,PLAUSIBLE_FRONTIER
457,6.379449,2.420663,2,Gbèdjromèdè,52.0,Aïdjèdo-Ahito,257.9,,0.798,intersection,residential,4,False,False,False,,SUSPICIOUS_OVERREACH
460,6.378467,2.418551,2,Gbèdjromèdè,184.8,Missité-Sikê,191.8,,0.037,intersection,residential,3,False,False,True,,PLAUSIBLE_FRONTIER
53715,6.379036,2.420381,2,Gbèdjromèdè,48.1,Aïdjèdo-Ahito,259.7,,0.815,intersection,residential,3,False,False,False,,SUSPICIOUS_OVERREACH
409,6.382155,2.424365,2,Ahouansouri-Agata,38.0,Aïdjèdo,287.5,,0.868,intersection,residential,5,False,False,False,,SUSPICIOUS_OVERREACH
412,6.380239,2.424761,2,Aïdjèdo,70.7,Ahouansouri-Agata,254.7,,0.722,intersection,residential,4,False,False,False,,SUSPICIOUS_OVERREACH
4606,6.375732,2.42607,2,Jéricho-Nord,54.6,Aïdjèdo-Vignon,299.0,,0.817,intersection,residential,5,False,False,False,,SUSPICIOUS_OVERREACH
2178,6.362621,2.411519,2,Gbégamey-Centre,77.1,Gbégamey-Mifongou,288.6,,0.733,road_segment,residential,2,False,False,True,,SUSPICIOUS_OVERREACH
2154,6.365894,2.409434,2,Gbégamey-Ahito,175.8,Gbégamey-Dodo-Ayidjè,273.5,,0.357,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
1215,6.363323,2.446572,3,Ohé,0.0,Akpakpa-Dodomè,237.2,Abokicodji-Centre,1.0,intersection,residential,3,False,False,False,,MULTI_QUARTIER
1180,6.363396,2.447127,3,Ohé,15.2,Akpakpa-Dodomè,252.4,Abokicodji-Centre,0.94,intersection,secondary,7,False,False,False,,MULTI_QUARTIER
1216,6.36278,2.446255,2,Ohé,21.6,Akpakpa-Dodomè,215.6,,0.9,intersection,secondary,6,False,False,False,,SUSPICIOUS_OVERREACH
5894,6.36391,2.446068,2,Ohé,79.4,Abokicodji-Centre,276.7,,0.713,intersection,residential,4,False,False,False,,SUSPICIOUS_OVERREACH
1224,6.358908,2.439397,2,Tokpa-Hoho,0.0,Guinkômey,261.6,,1.0,intersection,secondary,5,False,False,False,278.6,SUSPICIOUS_OVERREACH
