quartier,commune,confidence,area_m2,perimeter_m,road_length_m,n_road_vertices,compactness,n_neighbours,low_confidence_reasons
"Hounsa-Agbodokpa
",ABOMEY-CALAVI,HIGH,734223.9,7557.9,10813.1,376,0.162,0,
Akassato,ABOMEY-CALAVI,LOW,1625919.5,22650.6,25558.3,1056,0.04,1,sliver shape (compactness 0.040)
Agla-Petit-Château,COTONOU,HIGH,382300.0,3261.8,7123.7,246,0.452,2,
Jéricho-Sud,COTONOU,HIGH,122316.4,2575.2,1678.4,40,0.232,0,
Golo-Fanto,ABOMEY-CALAVI,LOW,656988.4,13670.0,11895.5,712,0.044,0,sliver shape (compactness 0.044)
Ohé,COTONOU,HIGH,186731.3,3313.9,4198.2,146,0.214,0,
Gbégamey-Mifongou,COTONOU,HIGH,186322.4,2721.0,3186.8,86,0.316,0,
Zopah-Akassato,ABOMEY-CALAVI,HIGH,1595891.7,16439.0,20501.2,488,0.074,0,
Gbèdiga-Guêdêhounguè,COTONOU,HIGH,454317.4,7925.3,7518.5,222,0.091,1,
Sèdjro-Saint-Michel,COTONOU,HIGH,108825.7,2320.8,1478.0,42,0.254,0,
Akossavié,ABOMEY-CALAVI,LOW,3270507.9,35040.2,45068.3,2544,0.033,0,sliver shape (compactness 0.033)
Dassèkomey,ABOMEY-CALAVI,LOW,2875747.5,62174.7,42678.0,1958,0.009,0,sliver shape (compactness 0.009)
Yèkon-Do,ABOMEY-CALAVI,LOW,825707.0,17158.3,10712.2,678,0.035,0,sliver shape (compactness 0.035)
Agontinkon,COTONOU,HIGH,102811.0,1980.3,1407.1,28,0.329,1,
Ouéga-Tokpa,ABOMEY-CALAVI,LOW,1978419.8,29854.4,27813.9,1240,0.028,0,sliver shape (compactness 0.028)
Togbin-Kpèvi,ABOMEY-CALAVI,HIGH,620483.6,9526.1,11090.0,430,0.086,0,
Sègbèya-Sud,COTONOU,HIGH,242468.8,4124.2,3649.4,90,0.179,0,
"Ounvènoumèdé
",ABOMEY-CALAVI,HIGH,1150947.2,10830.0,19578.1,722,0.123,0,
Agonsoudja,ABOMEY-CALAVI,LOW,1105621.6,21707.3,14162.8,688,0.029,0,sliver shape (compactness 0.029)
Saint-Jean-Gbèdiga,COTONOU,HIGH,141041.4,2643.4,1957.8,54,0.254,1,
Aïbatin-Dodo,COTONOU,HIGH,292030.1,4524.8,6678.2,194,0.179,2,
Hlacômey,COTONOU,HIGH,194091.4,2357.2,6417.1,132,0.439,0,
Vodjè-Finagnon,COTONOU,HIGH,120335.7,2804.0,2666.1,78,0.192,0,
Sèdami,COTONOU,HIGH,176645.3,2994.2,2461.0,58,0.248,0,
Tankpè-Togoudo,ABOMEY-CALAVI,HIGH,840835.0,6951.2,15209.4,736,0.219,0,
Yénawa,COTONOU,HIGH,395982.1,4375.6,6093.6,140,0.26,0,
Houèto,ABOMEY-CALAVI,HIGH,1507427.3,16318.9,25784.3,1074,0.071,0,
Gbégamey-Gbagoudo,COTONOU,HIGH,128475.5,2628.5,2620.8,54,0.234,0,
Aïfa-Calavi,ABOMEY-CALAVI,LOW,2339990.4,30084.9,34934.3,1252,0.032,0,sliver shape (compactness 0.032)
Ahouansouri-Agué,COTONOU,HIGH,168264.0,2034.6,2599.3,62,0.511,0,
Fifadji-Houto (Jak),COTONOU,HIGH,507192.4,6421.0,8203.2,200,0.155,0,
Agbodjèdo,COTONOU,HIGH,245833.7,3372.2,4351.5,90,0.272,0,
Houinmè,ABOMEY-CALAVI,LOW,1911638.3,29155.0,32016.6,1840,0.028,0,sliver shape (compactness 0.028)
Ahouato,ABOMEY-CALAVI,LOW,1571004.1,27525.7,18769.0,1058,0.026,0,sliver shape (compactness 0.026)
Minontchou,COTONOU,HIGH,197021.0,3418.2,3692.9,118,0.212,0,
Missogbé,COTONOU,HIGH,281480.3,3798.5,4853.8,164,0.245,0,
"Dèkoungbé-Église
",ABOMEY-CALAVI,HIGH,344138.5,5398.6,5418.9,192,0.148,0,
Misséssinto,ABOMEY-CALAVI,HIGH,1474315.0,18233.5,22127.0,1142,0.056,0,
Sègbèya-Nord,COTONOU,HIGH,294692.7,3109.4,4548.9,116,0.383,0,
Midombo,COTONOU,HIGH,153840.0,3358.1,1886.7,44,0.171,0,
Agla-Les-Pylônes,COTONOU,HIGH,460294.0,4310.5,12130.6,452,0.311,0,
Agori,ABOMEY-CALAVI,HIGH,1135697.7,14003.6,17087.3,748,0.073,0,
Tchanhounkpamè,COTONOU,HIGH,448354.1,6185.9,22960.8,724,0.147,0,
Fifatin,COTONOU,HIGH,148877.4,2873.7,2405.9,58,0.227,1,
"Sodo
",ABOMEY-CALAVI,HIGH,1558262.7,15541.2,24517.6,978,0.081,0,
Dandji-Hokanmè,COTONOU,HIGH,541516.0,9141.8,23965.7,760,0.081,0,
Agbatô,COTONOU,LOW,26156.7,723.3,230.5,8,0.628,0,few road vertices (8)
Nouveau-Pont,COTONOU,HIGH,67682.3,1439.9,1138.9,32,0.41,0,
Yèvié,ABOMEY-CALAVI,LOW,1394922.9,29342.5,16319.9,816,0.02,0,sliver shape (compactness 0.020)
Ahouassa,COTONOU,HIGH,265017.5,3380.3,3974.2,82,0.291,0,
Xwlacôdji-Kpodji,COTONOU,HIGH,323243.3,5520.7,5334.7,150,0.133,0,
Adjaha-Cité,COTONOU,HIGH,576682.4,7499.5,12784.3,394,0.129,0,
"Plateau
",ABOMEY-CALAVI,HIGH,619109.5,7908.4,14576.2,492,0.124,0,
Dangbodji,ABOMEY-CALAVI,HIGH,237447.1,5596.8,7837.7,342,0.095,0,
Agongbé,ABOMEY-CALAVI,LOW,2164613.6,47013.9,24494.9,1180,0.012,0,sliver shape (compactness 0.012)
Irédé,COTONOU,HIGH,141086.5,2462.8,2240.6,44,0.292,0,
Ouéga-Agué,ABOMEY-CALAVI,LOW,1780510.2,33173.5,23983.2,1068,0.02,0,sliver shape (compactness 0.020)
Agbo Codji Sèdégbé,ABOMEY-CALAVI,HIGH,648286.5,6188.1,10966.0,408,0.213,0,
Missité-Sikê,COTONOU,HIGH,65600.4,1611.7,788.1,24,0.317,0,
Zinvié-Fandji,ABOMEY-CALAVI,LOW,1064005.7,16904.4,15156.2,674,0.047,0,sliver shape (compactness 0.047)
Zèkanmey-Domè,ABOMEY-CALAVI,LOW,2558404.4,40006.2,37199.1,1984,0.02,0,sliver shape (compactness 0.020)
Kansounkpa,ABOMEY-CALAVI,LOW,2944619.7,53589.3,45956.3,2558,0.013,0,sliver shape (compactness 0.013)
Djédjé-Layé,COTONOU,HIGH,458065.6,5551.4,7389.9,150,0.187,0,
Sokan,ABOMEY-CALAVI,LOW,1304824.1,25524.1,18351.8,1006,0.025,0,sliver shape (compactness 0.025)
