qa,qb,name_a,arr_a,name_b,arr_b,n_collisions,shape,extent_m,az_deg,centroid_lat,centroid_lng,median_d_a_m,median_d_b_m,asymmetry_median,highway_types,density_per_100m
172,193,Misséssin,4ème Arrondissement,Gbénonkpô,3ème Arrondissement,2,intersection,34.7,124.2,6.371947,2.442415,189.0,11.9,0.937,primary|residential|secondary|tertiary,5.77
172,193,Misséssin,4ème Arrondissement,Gbénonkpô,3ème Arrondissement,2,intersection,17.0,-155.6,6.371848,2.444411,231.7,206.5,0.109,primary|residential,11.74
172,193,Misséssin,4ème Arrondissement,Gbénonkpô,3ème Arrondissement,7,linear_corridor,152.0,-176.6,6.370702,2.442838,137.6,112.8,0.181,residential|secondary|tertiary,4.61
172,193,Misséssin,4ème Arrondissement,Gbénonkpô,3ème Arrondissement,2,linear_corridor,55.2,171.9,6.372826,2.442377,265.0,87.8,0.668,residential|secondary,3.62
172,193,Misséssin,4ème Arrondissement,Gbénonkpô,3ème Arrondissement,1,point,0.0,,6.370426,2.443627,0.0,177.1,1.0,residential|tertiary,
172,193,Misséssin,4ème Arrondissement,Gbénonkpô,3ème Arrondissement,1,point,0.0,,6.369937,2.444023,69.8,246.9,0.717,residential|tertiary,
172,193,Misséssin,4ème Arrondissement,Gbénonkpô,3ème Arrondissement,1,point,0.0,,6.372035,2.44153,284.3,107.2,0.623,residential,
172,193,Misséssin,4ème Arrondissement,Gbénonkpô,3ème Arrondissement,1,point,0.0,,6.369273,2.442707,174.3,249.1,0.3,residential|secondary,
172,193,Misséssin,4ème Arrondissement,Gbénonkpô,3ème Arrondissement,2,intersection,17.4,179.5,6.371857,2.445186,244.2,292.1,0.164,primary|residential,11.49
98,154,Gbèdomidji,7ème Arrondissement,Mifongou,5ème Arrondissement,2,intersection,15.7,139.6,6.362218,2.423685,223.1,253.5,0.12,primary|secondary|tertiary,12.75
98,154,Gbèdomidji,7ème Arrondissement,Mifongou,5ème Arrondissement,1,point,0.0,,6.365148,2.424147,242.1,212.8,0.121,residential,
98,163,Gbèdomidji,7ème Arrondissement,Gbéto,5ème Arrondissement,2,intersection,15.7,139.6,6.362218,2.423685,223.1,288.2,0.226,primary|secondary|tertiary,12.75
