quartier_A,quartier_B,corridor_edges,total_length_m,A_share_m,B_share_m
Vodjè-Centre,Vodjè-Finagnon,10,1614.6,1264.5,350.1
Fidjrossè-Centre,Fidjrossè-Kpota,19,1462.0,756.7,705.3
Finagnon,Tokplégbé,6,1393.9,203.6,1190.3
Ayélawadjè-Agongbomè,Sègbèya-Sud,8,1313.1,533.1,780.0
Gbégamey-Centre,Gbégamey-Dodo-Ayidjè,14,1288.8,518.3,770.5
Avotrou-Aïmonlonfidé,Avotrou-Gbègo,7,1085.2,403.3,681.9
Midombo,Sègbèya-Sud,6,1012.6,588.9,423.7
Gankpodo,Yénawa,5,857.1,273.5,583.6
Saint-Jean-Gbèdiga,Yévèdo,4,836.6,392.3,444.3
Cadjèhoun-Gare,Cadjèhoun-Kpota,6,690.7,324.2,366.5
Houéyihô,Védokô,11,668.0,587.2,80.8
Ayélawadjè,Misséssin,3,653.0,464.9,188.1
Kouhounou,Zogbo,6,648.0,327.6,320.4
Jéricho-Nord,Sèdjro-Saint-Michel,7,638.9,96.9,542.1
Gbéto,Zongo-Nima,2,597.2,299.3,297.9
Cadjèhoun-Azalokogon,Cadjèhoun-Kpota,7,590.5,375.0,215.5
Bocossi-Tokpa,Missèbô,3,586.5,136.1,450.5
Hindé-Sud,Jéricho-Nord,2,584.9,196.5,388.4
Kpondéhou,Sègbèya-Sud,3,579.8,192.1,387.7
Aïdjèdo,Jéricho-Nord,4,567.2,246.3,320.9
Gbégamey-Centre,Gbégamey-Mifongou,2,560.1,463.7,96.4
Zopah-Akassato,Zopah-Kokpo,5,540.8,314.1,226.6
Vodjè-Ayidoté,Vodjè-Centre,2,530.3,529.8,0.5
Cadjèhoun-Aupiais,Gbégamey-Centre,3,529.0,353.2,175.8
Saint-Jean-Gbèdiga,Zongo-Ehuzu,1,520.5,238.5,282.0
Kpankpan,Midombo,5,494.5,156.6,337.9
Dantôkpa,Sèdjro-Saint-Michel,4,487.0,226.5,260.5
Agontinkon,Vodjè-Centre,3,484.0,483.5,0.5
Akassato,Zopah-Akassato,3,469.3,372.0,97.3
Dédokpo,Kpankpan,3,463.4,115.4,347.9
Ayélawadjè,Sènadé,2,432.5,38.1,394.4
Kpondéhou,Yénawa,2,414.9,207.1,207.8
Fifadji,Zogbo,4,411.8,391.4,20.3
Cadjèhoun-Aupiais,Cadjèhoun-Azalokogon,3,408.1,141.0,267.1
Fidjrossè-Centre,Missité,3,408.0,274.7,133.3
Aïdjèdo,Aïdjèdo-Ahito,2,400.7,400.3,0.4
Tankpè-Togoudo,Tankpê-Yoho,4,386.0,262.6,123.3
Ayélawadjè,Fifatin,3,381.0,35.5,345.5
Dantôkpa,Jéricho-Nord,2,375.1,374.7,0.4
Ahogbohoué-Cité-Eucharistie,Kouhounou,3,374.2,163.5,210.8
Abokicodji-Centre,Abokicodji-Lagune,4,335.3,167.6,167.6
Gbèdjromèdè-Nord,Minonkpô-Wologuèdè,1,332.3,114.1,218.2
Aïdjèdo-Ahito,Jéricho-Nord,3,327.4,97.1,230.3
Akassato,Houèkè-Honou,6,325.6,253.4,72.2
Dossounou,Hêvié,4,321.0,183.5,137.6
Aïdjèdo,Gbèdjromèdè-Nord,2,319.1,198.5,120.6
Cadjèhoun-Azalokogon,Cadjèhoun-Gare,4,301.8,157.3,144.6
Dantôkpa,Hindé-Sud,3,291.2,290.9,0.3
Avotrou-Aïmonlonfidé,Tchanhounkpamè,3,290.7,145.3,145.3
Fifatin,Lom-Nava,1,278.8,156.4,122.4
Cadjèhoun-Aupiais,Cadjèhoun-Kpota,1,274.8,168.1,106.6
Kouhounou,Mènontin,2,271.3,126.0,145.3
Agbatô,Sègbèya-Sud,1,268.2,171.3,96.9
Gbéto,Sèdjro-Saint-Michel,4,258.9,90.2,168.7
Ahogbohoué-Cité-Eucharistie,Védokô,3,257.0,148.2,108.8
Saint-Jean-Gbèdiga,Sèdami,1,245.1,85.8,159.3
Gbégamey-Ahito,Gbégamey-Dodo-Ayidjè,1,232.3,112.2,120.1
Ayélawadjè,Sègbèya-Sud,1,226.2,44.0,182.2
Irédé,Sènadé,2,203.6,32.4,171.2
Aïdjèdo,Gbèdjromèdè,1,200.2,133.3,66.8
Houéhoun,Minonkpô-Wologuèdè,1,182.2,148.9,33.2
Gbégamey-Dodo-Ayidjè,Yévèdo,1,167.0,86.4,80.6
Abokicodji-Lagune,Gbèdjèwin,1,155.7,44.1,111.6
Agbodjèdo,Ayélawadjè-Agongbomè,1,154.2,38.2,116.0
Ahouansori-Towéta,Aïdjèdo,2,154.0,0.2,153.9
Gbèdjromèdè,Gbèdjromèdè-Nord,4,153.3,76.7,76.7
Suru-Léré,Yagbé,2,150.3,143.6,6.7
Ahouansouri-Agata,Aïdjèdo,9,147.9,48.5,99.4
Agontinkon,Vodjè-Ayidoté,2,128.8,32.1,96.7
Gankpodo,Kpondéhou,2,120.6,66.3,54.3
Avotrou-Gbègo,Suru-Léré,1,104.3,0.1,104.2
Gbèdégbé,Missité,2,91.7,72.8,18.8
Akassato,Zopah-Kokpo,1,86.1,86.0,0.1
Gbégamey-Dodo-Ayidjè,Gbégamey-Mifongou,1,71.1,67.2,3.9
Zongo-Ehuzu,Zongo-Nima,1,70.6,70.5,0.1
Cadjèhoun-Azalokogon,Haie-Vive-Cocotiers,1,69.7,69.6,0.1
Ayélawadjè,Ayélawadjè-Agongbomè,1,69.2,34.6,34.6
Aïdjèdo,Djidjè,1,67.4,33.7,33.7
Avotrou-Gbègo,Sènadé,1,66.8,33.4,33.4
Houénoussou-Sainte-Rita,Minonkpô-Wologuèdè,1,66.7,33.4,33.4
Fifadji,Houénoussou-Sainte-Rita,1,66.0,50.0,16.0
Dédokpo,Misséssin,1,59.8,0.1,59.8
Ahouansori-Towéta,Gbèdjromèdè,1,59.0,50.9,8.1
Fifadji,Vossa-Kpodji,1,43.0,21.5,21.5
Gbégamey-Ahito,Gbégamey-Centre,1,36.8,18.4,18.4
Xwlacôdji-Kpodji,Xwlacôdji-Plage,1,33.1,33.0,0.0
Houénoussou,Houéyihô,1,24.4,24.4,0.0
Akassato,Misséssinto,1,21.9,11.0,11.0
Guinkômey,Zongo-Ehuzu,2,19.9,19.9,0.0
Cadjèhoun-Gare,Haie-Vive-Cocotiers,1,11.7,2.2,9.5
