quartier,valid_anchors,invalid_anchors,claimable_verts,corrected_road_length_m
Abokicodji-Centre,1,0,18,461.0
Abokicodji-Lagune,2,1,16,1603.8
Adjagbo,10,5,167,7592.5
Adjagbo-Aïdjèdo,1,1,33,1084.3
Adjaha-Cité,1,3,0,0.0
Adjamè,0,113,0,0.0
Adjogansa,0,1,0,0.0
Adjégounlè,0,1,0,0.0
Adovié,2,1,57,2200.9
Adôgléta,2,0,3,287.3
Agamandin,3,1,9,135.0
Agassa-Godomey,8,2,2,185.4
Agbatô,6,0,76,6464.8
Agbodjèdo,9,1,31,2990.4
Agbondjèdo,1,0,6,1243.7
Agla-Akplomey,0,6,0,0.0
Agla-Figaro,0,1,0,0.0
Agla-Les-Pylônes,2,2,31,4006.1
Agla-Petit-Château,1,3,52,3916.9
Agonkèssa,0,2,0,0.0
Agonmé,1,1,0,0.0
Agonsoudja,2,0,29,1851.3
Agontinkon,4,0,32,2991.2
Agori,1,2,35,2131.4
Ahogbohoué-Cité-Eucharistie,1,0,29,1371.8
Ahossougbéta,5,0,89,5473.0
Ahouansori-Towéta,3,1,76,5953.2
Ahouansori-Towéta-Kpota,0,1,0,0.0
Ahouansouri-Agata,1,2,20,184.1
Ahouassa,5,0,12,2219.6
Ahouato,0,1,0,0.0
Akassato,35,4,535,29200.2
Akossavié,0,1,0,0.0
Akpakpa-Dodomè,7,28,130,10106.2
Akôgbato,0,7,0,0.0
Alègléta,1,0,38,2391.9
Alédjo,0,13,0,0.0
Anagbo,0,1,0,0.0
Assrossa,0,1,0,0.0
Atrokpo-Codji,5,2,31,2981.7
Avlékété-Joncquet,0,2,0,0.0
Avotrou-Aïmonlonfidé,1,0,48,3336.9
Avotrou-Gbègo,16,1,74,11638.4
Avotrou-Houézèkomè,1,0,0,0.0
Ayélawadjè,4,4,27,5361.8
Ayélawadjè-Agongbomè,3,4,44,7033.8
Aïbatin-Dodo,1,0,0,0.0
Aïdjèdo,8,2,102,9924.6
Aïdjèdo-Ahito,1,0,9,1865.5
Aïdjèdo-Vignon,0,3,0,0.0
Aïdégnon,0,3,0,0.0
Aïmèvo,0,1,0,0.0
Aïtchédji,0,5,0,0.0
Bocossi-Tokpa,1,0,6,1158.0
Cadjèhoun-Aupiais,3,2,6,1741.7
Cadjèhoun-Azalokogon,12,0,150,13074.2
Cadjèhoun-Détinsa,1,0,3,1291.3
Cadjèhoun-Gare,3,1,61,2202.8
Cadjèhoun-Kpota,7,1,121,5011.8
Cité-la-Victoire,0,8,0,0.0
Cité-les-Palmiers,0,24,0,0.0
Cococodji,23,4,149,11430.2
Cocotomey,27,3,296,29240.2
Dandji,2,1,36,5254.1
Dantôkpa,8,1,41,6389.1
Dassèkomey,0,2,0,0.0
Djidjè,3,0,17,2646.2
Djidjè-Aïchédji,1,0,0,0.0
Djissoukpa,1,2,0,0.0
Djoukpa-Togoudo,0,3,0,0.0
Djèkpota,3,0,11,836.9
Djédjé-Layé,0,4,0,0.0
Domey-Gbo,0,1,0,0.0
Donaten,3,0,11,1030.7
Dossounou,4,0,69,3152.4
Dota,0,4,0,0.0
Drabo,0,3,0,0.0
Dèkoungbé,0,13,0,0.0
Dèkoungbé-Église,0,1,0,0.0
Dédokpo,4,0,29,3493.8
Dénou,0,2,0,0.0
Espace-Saint,0,45,0,0.0
Fandji,0,1,0,0.0
Fidjrossè-Centre,8,4,149,10694.8
Fidjrossè-Kpota,43,2,432,39520.5
Fifadji,11,2,64,6181.2
