quartier,valid_anchors,invalid_anchors,confirm_eligible,corrected_road_length_m
<unclaimed>,0,0,0,135950.1
Abokicodji-Centre,1,0,1,688.9
Abokicodji-Lagune,2,1,2,384.7
Adjagbo,10,5,6,1269.4
Adjagbo-Aïdjèdo,1,1,0,2832.7
Adjaha-Cité,1,3,1,154.4
Adjamè,0,113,0,0.0
"Adjamè
",0,0,0,5142.7
Adjogansa,0,1,0,0.0
Adjégounlè,0,1,0,1713.6
Adovié,2,1,1,78.7
Adôgléta,2,0,2,340.9
Agamandin,3,1,3,813.1
Agassa-Godomey,8,2,8,296.2
Agbatô,6,0,0,14.2
Agbodjèdo,9,1,9,3182.5
Agbondjèdo,1,0,1,1048.1
Agla-Agongbomey,0,0,0,181.6
Agla-Akplomey,0,6,0,0.0
Agla-Centre,0,0,0,159.0
Agla-Figaro,0,1,0,0.0
Agla-Les-Pylônes,2,2,1,915.6
Agla-Petit-Château,1,3,0,109.2
"Agonkanmey
",0,0,0,222.4
Agonkèssa,0,2,0,30.8
Agonmé,1,1,1,0.0
Agonsoudja,2,0,1,0.0
Agontinkon,4,0,3,3319.0
Agori,1,2,0,1701.5
Agounvocôdji,0,0,0,614.7
Ahogbohoué-Cité-Eucharistie,1,0,0,11689.7
Ahossougbéta,5,0,3,201.0
Ahouanlèko,0,0,0,522.4
Ahouansori-Towéta,3,1,1,132.6
Ahouansori-Towéta-Kpota,0,1,0,112.0
Ahouansouri-Agata,1,2,1,559.4
Ahouassa,5,0,5,2263.2
Ahouato,0,1,0,0.0
Akassato,35,4,18,5284.7
Akossavié,0,1,0,14.4
Akpakpa-Dodomè,7,28,3,3316.9
Akôgbato,0,7,0,0.0
Alansankomè,0,0,0,3555.1
Alègléta,1,0,0,0.0
Alédjo,0,13,0,0.0
Anagbo,0,1,0,0.0
Assrossa,0,1,0,0.0
Atrokpo-Codji,5,2,4,1025.3
Avlékété-Joncquet,0,2,0,210.0
Avotrou-Aïmonlonfidé,1,0,0,178.2
Avotrou-Gbègo,16,1,8,3648.2
Avotrou-Houézèkomè,1,0,1,934.4
Ayélawadjè,4,4,3,2435.6
Ayélawadjè-Agongbomè,3,4,0,209.1
Azonsa,0,0,0,861.8
