A,B,edges,total_length_m,A_share_m,B_share_m
Djédjé-Layé,Gankpodo,14,2624.3,1312.1,1312.1
Cocotomey,"Tokpa
",30,2133.1,1066.6,1066.6
Fiyégnon-Jacquot,Togbin-Fandji,6,1701.8,850.9,850.9
Gbégamey-Mifongou,Saint-Jean-Gbèdiga,5,1656.7,828.3,828.3
Guinkômey,Missèbô,8,1538.1,769.0,769.0
Midombo,Sègbèya-Sud,13,1433.6,716.8,716.8
Djédjé-Layé,Yénawa,7,1308.4,654.2,654.2
Avotrou-Gbègo,Avotrou-Houézèkomè,11,1305.0,652.5,652.5
Agbondjèdo,Minonkpô-Wologuèdè,5,1274.2,637.1,637.1
Djidjè,Djidjè-Aïchédji,7,1262.3,631.1,631.1
Kpondéhou,Sègbèya-Nord,6,1248.4,624.2,624.2
Avotrou-Gbègo,Suru-Léré,8,1231.1,615.6,615.6
Agbodjèdo,Minontchou,10,1207.0,603.5,603.5
Bocossi-Tokpa,Missèbô,8,1171.7,585.8,585.8
Kpankpan,Midombo,12,1133.6,566.8,566.8
Godomey-N'Gbèho,Hlazounto,12,1131.2,565.6,565.6
Dandji-Hokanmè,Finagnon,7,1013.8,506.9,506.9
Houéyihô,Vodjè-Ayidoté,3,1011.7,505.8,505.8
Mifongou,Sèdjro-Saint-Michel,7,966.0,483.0,483.0
Dédokpo,Misséssin,5,949.7,474.8,474.8
Houèto,Tankpê-Yoho,12,933.4,466.7,466.7
Kouhounou,Mènontin,8,890.7,445.4,445.4
Cadjèhoun-Agonga,Cadjèhoun-Azalokogon,9,890.2,445.1,445.1
Cadjèhoun-Azalokogon,Cadjèhoun-Kpota,7,883.1,441.6,441.6
Aïdjèdo-Gbègo,Djidjè,5,879.2,439.6,439.6
Akassato,Houèkè-Honou,7,860.4,430.2,430.2
Ayélawadjè,Fifatin,6,820.1,410.1,410.1
Akassato,Misséssinto,13,817.3,408.6,408.6
Agounvocôdji,Kouhounou,8,805.4,402.7,402.7
Jéricho-Nord,Sèdami,6,801.4,400.7,400.7
"Nonhouénou
",Yolomahouto,14,800.5,400.2,400.2
Cadjèhoun-Azalokogon,Haie-Vive-Cocotiers,5,792.9,396.4,396.4
Fifadji,Yénawa-Fifadji,4,789.3,394.6,394.6
Gbèdiga-Guêdêhounguè,Gbégamey-Mifongou,4,772.3,386.1,386.1
Dantôkpa,Nouveau-Pont,5,767.0,383.5,383.5
Cadjèhoun-Détinsa,Cadjèhoun-Gare,5,763.0,381.5,381.5
Lom-Nava,Sènadé,4,746.0,373.0,373.0
Agontinkon,Vodjè-Ayidoté,4,721.7,360.9,360.9
Guinkômey,Zongo-Nima,1,720.9,360.5,360.5
Gbédokpo,Gbéto,4,717.2,358.6,358.6
Gbégamey-Ahito,Gbégamey-Centre,4,688.0,344.0,344.0
Fifadji,Zogbo,7,660.8,330.4,330.4
Sèdami,Sèhogan-Sikê,4,655.1,327.6,327.6
Gbégamey-Gbagoudo,Vodjè-Allobatin,4,651.6,325.8,325.8
Ahouassa,Kpondéhou,6,623.6,311.8,311.8
Fidjrossè-Kpota,Togbin-Fandji,9,622.8,311.4,311.4
Gbèdiga-Guêdêhounguè,Zongo-Nima,5,620.2,310.1,310.1
Saint-Jean-Gbèdiga,Todoté,4,616.8,308.4,308.4
Gbégamey-Dodo-Ayidjè,Saint-Jean-Gbèdiga,4,615.7,307.9,307.9
Atrokpo-Codji,"Dénou
",2,605.8,302.9,302.9
Missogbé,Védokô,6,600.0,300.0,300.0
Gbédokpo,Missèbô,4,592.9,296.4,296.4
Ahogbohoué-Cité-Eucharistie,Houéyihô,7,586.9,293.5,293.5
Aïdjèdo-Vignon,Jéricho-Nord,2,584.9,292.5,292.5
Houéyihô-Tannou,Vodjè-Finagnon,4,584.4,292.2,292.2
Missité,Missèbô,4,577.4,288.7,288.7
Ayélawadjè,Lom-Nava,4,576.6,288.3,288.3
Agounvocôdji,Zogbo,10,575.7,287.8,287.8
Suru-Léré,Yagbé,6,574.2,287.1,287.1
Gankpodo,Kpondéhou,4,569.9,285.0,285.0
Cocotomey,"Gbodjè-Womey
",2,569.0,284.5,284.5
Dandji,Dandji-Hokanmè,9,563.3,281.6,281.6
Adjégounlè,Kpankpan,4,562.8,281.4,281.4
Yénawa-Fifadji,Zogbo,6,552.9,276.4,276.4
Ahouansouri-Agata,Aïdjèdo,3,551.9,276.0,276.0
