quartier,commune,valid_anchors,confirm_eligible,corrected_road_length_m
"Abikouholi
",ABOMEY-CALAVI,0,0,9417.5
Abokicodji-Centre,COTONOU,1,1,3385.7
Abokicodji-Lagune,COTONOU,2,2,2788.0
Adjagbo,ABOMEY-CALAVI,7,3,29938.3
Adjagbo-Aïdjèdo,ABOMEY-CALAVI,1,0,40966.1
Adjaha-Cité,COTONOU,1,1,17548.9
Adjamè,,0,0,0.0
"Adjamè
",ABOMEY-CALAVI,0,0,17849.2
Adjogansa,ABOMEY-CALAVI,0,0,10049.7
Adjégounlè,COTONOU,0,0,2803.0
Adovié,ABOMEY-CALAVI,2,1,60418.7
Adôgléta,COTONOU,2,2,6285.5
Agamandin,ABOMEY-CALAVI,3,3,26620.9
Agassa-Godomey,ABOMEY-CALAVI,8,8,43572.3
Agbatô,COTONOU,6,0,356.6
Agbo Codji Sèdégbé,ABOMEY-CALAVI,0,0,16587.2
Agbodjèdo,COTONOU,9,9,9405.1
Agbondjèdo,COTONOU,1,1,3198.2
Agla-Agongbomey,COTONOU,0,0,17638.0
Agla-Akplomey,,0,0,0.0
Agla-Centre,COTONOU,0,0,11230.5
Agla-Figaro,,0,0,0.0
Agla-Finafa,COTONOU,0,0,5640.8
Agla-Les-Pylônes,COTONOU,2,1,23260.7
Agla-Petit-Château,COTONOU,1,0,8053.7
Agongbé,ABOMEY-CALAVI,0,0,26572.6
"Agonkanmey
",ABOMEY-CALAVI,0,0,16454.4
Agonkèssa,ABOMEY-CALAVI,0,0,13759.6
Agonmé,ABOMEY-CALAVI,1,1,29512.4
Agonsoudja,ABOMEY-CALAVI,2,1,19357.2
Agontinkon,COTONOU,4,3,4763.6
Agori,ABOMEY-CALAVI,1,0,29325.9
Agounvocôdji,COTONOU,0,0,5849.8
Ahogbohoué-Cité-De-l'Expérience,COTONOU,0,0,2979.0
Ahogbohoué-Cité-Eucharistie,COTONOU,1,0,6758.8
Ahossougbéta,ABOMEY-CALAVI,5,3,40450.8
Ahouanlèko,COTONOU,0,0,22247.3
Ahouansori-Towéta,COTONOU,3,1,2582.4
Ahouansori-Towéta-Kpota,COTONOU,1,0,3943.7
Ahouansouri-Agata,COTONOU,1,1,3246.9
Ahouansouri-Agué,COTONOU,0,0,3529.4
Ahouassa,COTONOU,5,5,6202.2
Ahouato,ABOMEY-CALAVI,0,0,21854.8
Ahowégodo,ABOMEY-CALAVI,0,0,1159.3
Akassato,ABOMEY-CALAVI,35,18,39829.0
Akossavié,ABOMEY-CALAVI,0,0,65877.7
Akpakpa-Dodomè,COTONOU,4,1,558.0
Akôgbato,,0,0,0.0
Alansankomè,ABOMEY-CALAVI,0,0,33522.3
Alladacomè,ABOMEY-CALAVI,0,0,37.6
Alègléta,ABOMEY-CALAVI,0,0,28199.1
Alédjo,,0,0,0.0
"Alédjo
",ABOMEY-CALAVI,0,0,28360.9
"Amahoun
",ABOMEY-CALAVI,0,0,31866.6
Anagbo,ABOMEY-CALAVI,0,0,5735.4
Assrossa,,0,0,0.0
"Assrossa
",ABOMEY-CALAVI,0,0,18348.2
Atrokpo-Codji,ABOMEY-CALAVI,5,4,35822.7
Avagbé,ABOMEY-CALAVI,0,0,15132.3
Avlékété-Joncquet,COTONOU,0,0,2273.4
Avotrou-Aïmonlonfidé,COTONOU,1,0,9137.1
Avotrou-Gbègo,COTONOU,16,8,9281.9
Avotrou-Houézèkomè,COTONOU,1,1,6440.9
Ayélawadjè,COTONOU,4,3,3417.8
Ayélawadjè-Agongbomè,COTONOU,3,0,3357.2
Azonsa,ABOMEY-CALAVI,0,0,17877.8
Aïbatin-Dodo,COTONOU,1,1,7434.1
Aïbatin-Kpota,COTONOU,0,0,3339.8
Aïdjèdo,COTONOU,8,4,2534.7
Aïdjèdo-Ahito,COTONOU,1,1,949.3
Aïdjèdo-Gbègo,COTONOU,0,0,972.6
Aïdjèdo-Vignon,COTONOU,0,0,1641.5
Aïdégnon,,0,0,0.0
"Aïdégnon
",ABOMEY-CALAVI,0,0,31818.6
Aïfa-Calavi,ABOMEY-CALAVI,0,0,51158.4
Aïmèvo,,0,0,0.0
"Aïmèvo
",ABOMEY-CALAVI,0,0,6715.5
Aïtchédji,,0,0,0.0
"Aïtchédji
",ABOMEY-CALAVI,0,0,41476.2
Bocossi-Tokpa,COTONOU,1,1,2376.3
Bozoun,ABOMEY-CALAVI,0,0,858.8
Cadjèhoun-Agonga,COTONOU,0,0,6396.3
Cadjèhoun-Aupiais,COTONOU,3,3,6047.1
Cadjèhoun-Azalokogon,COTONOU,12,7,5959.8
Cadjèhoun-Détinsa,COTONOU,1,1,2859.0
Cadjèhoun-Gare,COTONOU,3,2,4637.4
Cadjèhoun-Kpota,COTONOU,7,2,2734.9
Cité-la-Victoire,,0,0,0.0
"Cité-la-Victoire
",ABOMEY-CALAVI,0,0,15186.0
Cité-les-Palmiers,,0,0,0.0
"Cité-les-Palmiers
",ABOMEY-CALAVI,0,0,62944.7
Cococodji,ABOMEY-CALAVI,23,19,243757.3
