name,lat,lng,category,poi_quartier,poi_quartier_arr,match_mode,matched_text,match_confidence,snap_dist_m,current_owner,current_owner_arr,classification
Pharmacie Marché Vedoko,6.3781996,2.3902366,pharmacy,Védokô,10ème Arrondissement,FULL_SINGLE_UNIQUE,vedoko,0.85,21.2,Missogbé,10ème Arrondissement,DISPUTE
Marché Togba,6.4635422,2.3059166,marketplace,Togba_Maria-Gléta,Togba,TOKEN_UNIQUE,togba,0.6,29.0,Ouéga-Tokpa,Togba,DISPUTE
Saint Michel de Togoudo,6.4018911,2.3352245,place_of_worship,Sèdjro-Saint-Michel,7ème Arrondissement,TOKEN_UNIQUE,michel,0.6,20.0,"Djoukpa-Togoudo
",Godomey,DISPUTE
Orabank Agence Saint Michel,6.3667879,2.4292594,bank,Sèdjro-Saint-Michel,7ème Arrondissement,TOKEN_UNIQUE,michel,0.6,51.3,Sèdjro-Saint-Michel,7ème Arrondissement,CONFIRM
SGBBE agence saint michel,6.3651395,2.4271065,bank,Sèdjro-Saint-Michel,7ème Arrondissement,TOKEN_UNIQUE,michel,0.6,21.7,Mifongou,5ème Arrondissement,DISPUTE
pharmacie saint michel,6.3664602,2.42935,pharmacy,Sèdjro-Saint-Michel,7ème Arrondissement,TOKEN_UNIQUE,michel,0.6,48.2,Sèdjro-Saint-Michel,7ème Arrondissement,CONFIRM
BSIC Agence Saint Michel,6.3659243,2.427977,bank,Sèdjro-Saint-Michel,7ème Arrondissement,TOKEN_UNIQUE,michel,0.6,30.1,Sèdjro-Saint-Michel,7ème Arrondissement,CONFIRM
Diamond Bank Agence Saint Michel,6.368423,2.4285659,bank,Sèdjro-Saint-Michel,7ème Arrondissement,TOKEN_UNIQUE,michel,0.6,26.6,Sèdjro-Saint-Michel,7ème Arrondissement,CONFIRM
Nouvelle Pharmacie Mènontin,6.3875949,2.3687693,pharmacy,Mènontin,9ème Arrondissement,FULL_SINGLE_UNIQUE,menontin,0.85,15.4,Mènontin,9ème Arrondissement,CONFIRM
pharmacie Zogbohoue,6.3921655,2.3828379,pharmacy,Zogbohouè,9ème Arrondissement,FULL_SINGLE_UNIQUE,zogbohoue,0.85,9.4,Zogbohouè,9ème Arrondissement,CONFIRM
