chef_index,name,arrondissement,commune,lat,lng,support_count,contradiction_count,external_support_count,weighted_support,weighted_contradiction,weighted_external_support,total_evidence,confidence_score,over_expansion_score,under_claim_score,boundary_shift_score
0,Fiyégnon-Houta,12ème Arrondissement,COTONOU,6.350590159498857,2.348833774878387,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,Dandji-Hokanmè,1er Arrondissement,COTONOU,6.368890460329282,2.485058184575597,0,3,0,0.0,2.3,0.0,3,0.632,0.697,0.0,0.0
2,Kowégbo,2ème Arrondissement,COTONOU,6.382225978472974,2.465827538994987,1,0,0,0.85,0.0,0.0,1,0.283,0.0,0.0,0.0
3,"Ningboto
",Godomey,ABOMEY-CALAVI,6.372419386290843,2.332807922474081,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4,Hlazounto,12ème Arrondissement,COTONOU,6.368747753812433,2.362304065520742,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,Yévèdo,7ème Arrondissement,COTONOU,6.366871648998257,2.419987013420057,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
6,Nouveau-Pont,5ème Arrondissement,COTONOU,6.368611289545064,2.431831981810393,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
7,Hindé-Sud,6ème Arrondissement,COTONOU,6.374926295307048,2.433785433750298,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
8,Ouéga-Tokpa,Togba,ABOMEY-CALAVI,6.473549012939534,2.30680022495434,0,3,0,0.0,1.8,0.0,3,0.632,0.643,0.0,0.0
9,Tankpè-Togoudo,Godomey,ABOMEY-CALAVI,6.418191131019869,2.311011140076428,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,Minonkpô-Wologuèdè,8ème Arrondissement,COTONOU,6.374683408489917,2.413874502852743,0,0,1,0.0,0.0,0.6,1,0.283,0.0,0.375,0.0
11,"Djoukpa-Togoudo
",Godomey,ABOMEY-CALAVI,6.403574813297991,2.337956703847636,0,1,0,0.0,0.6,0.0,1,0.283,0.375,0.0,0.0
12,Cadjèhoun-Azalokogon,12ème Arrondissement,COTONOU,6.357934028105427,2.399114060918247,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
13,"Fifonsi
",Togba,ABOMEY-CALAVI,6.440133968414679,2.322904265361397,0,2,0,0.0,1.7,0.0,2,0.487,0.63,0.0,0.0
14,"Ounvènoumèdé
",Godomey,ABOMEY-CALAVI,6.387344831642028,2.33370016269819,0,1,0,0.0,0.6,0.0,1,0.283,0.375,0.0,0.0
15,Zoungo,Hêvié,ABOMEY-CALAVI,6.456355067632562,2.249778841056814,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
16,Tankpê-Yoho,Abomey-Calavi,ABOMEY-CALAVI,6.432375677616995,2.310385829352795,0,2,0,0.0,1.7,0.0,2,0.487,0.63,0.0,0.0
17,Akpakpa-Dodomè,4ème Arrondissement,COTONOU,6.361032388167098,2.444688908537918,0,0,5,0.0,0.0,3.0,5,0.811,0.0,0.75,0.0
18,Akossavié,Hêvié,ABOMEY-CALAVI,6.405935388248944,2.251339955057393,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
19,Cadjèhoun-Kpota,12ème Arrondissement,COTONOU,6.364087978432719,2.400424259787283,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
