lat,lng,offender,off_arr,off_dist_m,off_snap_m,off_snap_edges,off_comp_size,off_path_len,off_used_dual,off_used_roundabout,victim,vic_arr,vic_dist_m,vic_snap_m,vic_snap_edges,vic_comp_size,vic_near_ways,vic_dist_water_m,asymmetry,causes
6.371859,2.442545,Misséssin,4ème Arrondissement,177.1,24.5,4,90099,3,False,False,Gbénonkpô,3ème Arrondissement,0.0,11.2,7,90099,27,570.5,1.0,unattributed
6.371267,2.44294,Misséssin,4ème Arrondissement,120.5,24.5,4,90099,2,False,False,Gbénonkpô,3ème Arrondissement,56.6,11.2,7,90099,27,570.5,0.53,unattributed
6.372034,2.442285,Misséssin,4ème Arrondissement,200.9,24.5,4,90099,4,False,False,Gbénonkpô,3ème Arrondissement,23.7,11.2,7,90099,27,570.5,0.882,unattributed
6.372579,2.442412,Misséssin,4ème Arrondissement,237.3,24.5,4,90099,4,False,False,Gbénonkpô,3ème Arrondissement,60.2,11.2,7,90099,27,570.5,0.746,unattributed
6.371268,2.442639,Misséssin,4ème Arrondissement,228.0,24.5,4,90099,4,False,False,Gbénonkpô,3ème Arrondissement,55.9,11.2,7,90099,27,570.5,0.755,unattributed
6.367081,2.429914,Nouveau-Pont,5ème Arrondissement,258.9,8.6,4,90099,2,False,False,Sèdjro-Saint-Michel,7ème Arrondissement,0.0,2.2,4,90099,33,,1.0,unattributed
6.366964,2.429765,Nouveau-Pont,5ème Arrondissement,274.4,8.6,4,90099,3,False,False,Sèdjro-Saint-Michel,7ème Arrondissement,15.5,2.2,4,90099,33,,0.943,unattributed
6.367269,2.430154,Nouveau-Pont,5ème Arrondissement,230.6,8.6,4,90099,1,False,False,Sèdjro-Saint-Michel,7ème Arrondissement,28.3,2.2,4,90099,33,,0.877,unattributed
6.367187,2.429801,Nouveau-Pont,5ème Arrondissement,275.7,8.6,4,90099,4,True,False,Sèdjro-Saint-Michel,7ème Arrondissement,16.7,2.2,4,90099,33,,0.939,dual_carriageway_shortcut
6.371361,2.411626,Dagbédji-Sikê,7ème Arrondissement,293.0,13.1,3,90099,8,True,False,Gbégamey-Gbagoudo,11ème Arrondissement,95.6,13.6,11,90099,39,,0.674,dual_carriageway_shortcut
6.37063,2.410711,Dagbédji-Sikê,7ème Arrondissement,174.6,13.1,3,90099,4,True,False,Gbégamey-Gbagoudo,11ème Arrondissement,28.6,13.6,11,90099,39,,0.836,dual_carriageway_shortcut
6.371308,2.410842,Dagbédji-Sikê,7ème Arrondissement,219.5,13.1,3,90099,6,True,False,Gbégamey-Gbagoudo,11ème Arrondissement,16.3,13.6,11,90099,39,,0.926,dual_carriageway_shortcut
6.370898,2.408928,Dagbédji-Sikê,7ème Arrondissement,220.8,13.1,3,90099,6,True,False,Gbégamey-Gbagoudo,11ème Arrondissement,17.7,13.6,11,90099,39,,0.92,dual_carriageway_shortcut
6.372281,2.408773,Dagbédji-Sikê,7ème Arrondissement,267.4,13.1,3,90099,6,True,False,Gbégamey-Gbagoudo,11ème Arrondissement,64.2,13.6,11,90099,39,,0.76,dual_carriageway_shortcut
6.379449,2.420663,Aïdjèdo-Ahito,6ème Arrondissement,257.9,3.5,5,90099,4,False,False,Gbèdjromèdè,6ème Arrondissement,52.0,2.4,7,90099,30,,0.798,unattributed
6.379036,2.420381,Aïdjèdo-Ahito,6ème Arrondissement,259.7,3.5,5,90099,5,True,False,Gbèdjromèdè,6ème Arrondissement,48.1,2.4,7,90099,30,,0.815,dual_carriageway_shortcut
6.382155,2.424365,Aïdjèdo,6ème Arrondissement,287.5,7.5,4,90099,4,False,False,Ahouansouri-Agata,6ème Arrondissement,38.0,7.0,5,90099,34,,0.868,unattributed
6.380239,2.424761,Ahouansouri-Agata,6ème Arrondissement,254.7,7.0,5,90099,4,False,False,Aïdjèdo,6ème Arrondissement,70.7,7.5,4,90099,19,,0.722,unattributed
6.375732,2.42607,Aïdjèdo-Vignon,6ème Arrondissement,299.0,11.5,6,90099,4,False,False,Jéricho-Nord,6ème Arrondissement,54.6,12.7,5,90099,24,,0.817,unattributed
6.362621,2.411519,Gbégamey-Mifongou,11ème Arrondissement,288.6,3.4,3,90099,5,False,False,Gbégamey-Centre,11ème Arrondissement,77.1,9.4,4,90099,22,,0.733,unattributed
6.36278,2.446255,Akpakpa-Dodomè,4ème Arrondissement,215.6,10.4,2,90099,3,True,False,Ohé,4ème Arrondissement,21.6,21.0,3,90099,48,639.8,0.9,dual_carriageway_shortcut
6.36391,2.446068,Abokicodji-Centre,4ème Arrondissement,276.7,6.4,7,90099,4,False,False,Ohé,4ème Arrondissement,79.4,21.0,3,90099,48,639.8,0.713,unattributed
6.358908,2.439397,Guinkômey,5ème Arrondissement,261.6,33.0,3,90099,9,True,False,Tokpa-Hoho,5ème Arrondissement,0.0,9.5,5,90099,45,269.4,1.0,dual_carriageway_shortcut|centroid_badly_positioned
6.35897,2.439827,Guinkômey,5ème Arrondissement,285.7,33.0,3,90099,10,True,False,Tokpa-Hoho,5ème Arrondissement,24.2,9.5,5,90099,45,269.4,0.915,dual_carriageway_shortcut|centroid_badly_positioned
6.358652,2.438978,Guinkômey,5ème Arrondissement,240.0,33.0,3,90099,8,True,False,Tokpa-Hoho,5ème Arrondissement,36.9,9.5,5,90099,45,269.4,0.846,dual_carriageway_shortcut|centroid_badly_positioned
6.35844,2.43895,Guinkômey,5ème Arrondissement,216.2,33.0,3,90099,7,True,False,Tokpa-Hoho,5ème Arrondissement,45.4,9.5,5,90099,45,269.4,0.79,dual_carriageway_shortcut|centroid_badly_positioned
6.35645,2.436167,Tokpa-Hoho,5ème Arrondissement,261.6,9.5,5,90099,10,True,False,Guinkômey,5ème Arrondissement,0.0,33.0,3,90099,76,749.7,1.0,dual_carriageway_shortcut|centroid_badly_positioned
6.356784,2.436618,Tokpa-Hoho,5ème Arrondissement,229.6,9.5,5,90099,9,True,False,Guinkômey,5ème Arrondissement,32.0,33.0,3,90099,76,749.7,0.861,dual_carriageway_shortcut|centroid_badly_positioned
6.361915,2.431593,Gbédokpo,5ème Arrondissement,297.6,17.2,3,90099,5,False,False,Missité,5ème Arrondissement,17.3,5.7,4,90099,26,907.5,0.942,unattributed
6.361876,2.431806,Gbédokpo,5ème Arrondissement,299.4,17.2,3,90099,5,False,False,Missité,5ème Arrondissement,15.7,5.7,4,90099,26,907.5,0.948,unattributed
6.361996,2.43171,Gbédokpo,5ème Arrondissement,282.4,17.2,3,90099,4,False,False,Missité,5ème Arrondissement,22.7,5.7,4,90099,26,907.5,0.92,unattributed
6.369265,2.418092,Énagnon-Sikê,7ème Arrondissement,240.4,10.0,3,90099,6,False,False,Sèhogan-Sikê,7ème Arrondissement,0.0,7.5,4,90099,26,,1.0,unattributed
6.36945,2.417945,Énagnon-Sikê,7ème Arrondissement,214.2,10.0,3,90099,5,False,False,Sèhogan-Sikê,7ème Arrondissement,26.2,7.5,4,90099,26,,0.878,unattributed
6.368675,2.41856,Yévèdo,7ème Arrondissement,252.8,2.4,4,90099,3,False,False,Sèhogan-Sikê,7ème Arrondissement,83.5,7.5,4,90099,26,,0.669,unattributed
6.36748,2.419508,Sèhogan-Sikê,7ème Arrondissement,252.7,7.5,4,90099,3,False,False,Yévèdo,7ème Arrondissement,83.6,2.4,4,90099,13,,0.669,unattributed
6.365647,2.422356,Gbèdomidji,7ème Arrondissement,287.5,2.2,4,90099,3,False,False,Gbènan,7ème Arrondissement,122.0,5.3,4,90099,19,,0.576,unattributed
6.365753,2.423672,Mifongou,5ème Arrondissement,298.1,14.1,5,90099,4,False,False,Gbènan,7ème Arrondissement,81.7,5.3,4,90099,19,,0.726,unattributed
6.367163,2.404412,Vodjè-Centre,11ème Arrondissement,210.7,1.2,2,90099,7,False,False,Cadjèhoun-Détinsa,12ème Arrondissement,0.0,4.4,5,90099,31,,1.0,unattributed
6.367305,2.404296,Vodjè-Centre,11ème Arrondissement,189.4,1.2,2,90099,6,False,False,Cadjèhoun-Détinsa,12ème Arrondissement,21.3,4.4,5,90099,31,,0.888,unattributed
